game_id,play_id,frame
19783001319551,6,72313.0
19783001319551,8,73353.0
19783001319551,19,79942.0
19783001319551,32,92985.0
19783001319551,36,94554.0
19783001319551,37,95161.0
19783001319551,42,102543.0
19783001319551,46,104977.0
19783001319551,60,119978.0
19783001319551,74,132973.0
19783001319551,75,133698.0
19783001319551,84,142448.0
19783001319551,90,176885.0
19783001319551,92,178586.0
19783001319551,116,201214.0
19783001319551,118,202267.0
19783001319551,120,203173.0
19783001319551,122,208986.0
19783001319551,124,210138.0
19783001319551,125,211534.0
19783001319551,128,214846.0
19783001319551,139,227549.0
19783001319551,152,243650.0
19783001319551,160,256530.0
19783001319551,165,263281.0
19783005300691,1,6518.0
19783005300691,5,8866.0
19783005300691,6,9120.0
19783005300691,7,9621.0
19783005300691,13,12747.0
19783005300691,16,13801.0
19783005300691,21,16947.0
19783005300691,23,18383.0
19783005300691,26,19206.0
19783005300691,27,19849.0
19783005300691,34,25828.0
19783005300691,42,36261.0
19783005300691,50,
19783005300691,53,
19783005300691,55,46093.0
19783005300691,57,
19783005300691,59,
19783005300691,60,48909.0
19783005300691,65,55747.0
19783005300691,66,56501.0
19783005300691,76,
19783005300691,78,63823.0
19783005300691,92,77896.0
19783005300691,102,100936.0
19783005300691,104,102897.0
19783005300691,114,110171.0
19783005300691,116,117491.0
19783005300691,117,118221.0
19783005300691,119,
19783005300691,131,129939.0
19783005300691,153,147657.0
19783005300691,156,148895.0
19783005300691,161,152803.0
19783005300691,165,155364.0
19783010101271,1,57683.0
19783010101271,2,57951.0
19783010101271,6,60044.0
19783010101271,7,61617.0
19783010101271,9,62519.0
19783010101271,13,65584.0
19783010101271,21,72454.0
19783010101271,23,73327.0
19783010101271,26,77053.0
19783010101271,32,82030.0
19783010101271,38,89319.0
19783010101271,45,95542.0
19783010101271,49,98828.0
19783010101271,62,110200.0
19783010101271,66,114736.0
19783010101271,68,115951.0
19783010101271,79,126316.0
19783010101271,80,127123.0
19783010101271,82,289009.0
19783010101271,88,162374.0
19783010101271,89,162823.0
19783010101271,97,170438.0
19783010101271,103,178976.0
19783010101271,104,180079.0
19783010101271,112,184446.0
19783010101271,115,186887.0
19783010101271,118,189157.0
19783010101271,121,196199.0
19783010101271,127,199071.0
19783010101271,128,199739.0
19783010101271,136,207822.0
19783010101271,138,208946.0
19783010101271,154,164403.0
19783010101271,156,228083.0
19783018213541,1,64442.0
19783018213541,4,65527.0
19783018213541,7,67267.0
19783018213541,13,71216.0
19783018213541,21,81028.0
19783018213541,22,81916.0
19783018213541,24,83063.0
19783018213541,25,83230.0
19783018213541,37,96378.0
19783018213541,43,100579.0
19783018213541,49,107229.0
19783018213541,51,108996.0
19783018213541,52,110031.0
19783018213541,68,127674.0
19783018213541,81,139440.0
19783018213541,83,140747.0
19783018213541,85,142944.0
19783018213541,91,180884.0
19783018213541,92,181199.0
19783018213541,100,188699.0
19783018213541,103,190694.0
19783018213541,121,209591.0
19783018213541,131,220979.0
19783018213541,137,226701.0
19783018213541,142,230256.0
19783018213541,145,236308.0
19783018213541,166,261134.0
19783018213541,172,274872.0
19783018213541,183,295461.0
19783020507461,6,15691.0
19783020507461,7,16351.0
19783020507461,8,16884.0
19783020507461,22,28554.0
19783020507461,24,29363.0
19783020507461,41,46271.0
19783020507461,44,47551.0
19783020507461,46,48549.0
19783020507461,58,62847.0
19783020507461,62,65127.0
19783020507461,68,69578.0
19783020507461,73,77560.0
19783020507461,77,79407.0
19783020507461,79,80026.0
19783020507461,84,
19783020507461,88,91666.0
19783020507461,89,92525.0
19783020507461,91,114257.0
19783020507461,92,114815.0
19783020507461,99,117163.0
19783020507461,104,122794.0
19783020507461,108,125920.0
19783020507461,117,137863.0
19783020507461,133,155314.0
19783020507461,135,155962.0
19783020507461,136,156187.0
19783020507461,147,169987.0
19783020507461,151,172855.0
19783020507461,154,174233.0
19783020507461,169,192341.0
19783020507461,175,197777.0
19783027312071,8,21723.0
19783027312071,9,22370.0
19783027312071,19,29266.0
19783027312071,20,29992.0
19783027312071,25,
19783027312071,32,35685.0
19783027312071,44,48828.0
19783027312071,46,49938.0
19783027312071,47,50722.0
19783027312071,48,51426.0
19783027312071,55,58252.0
19783027312071,58,60106.0
19783027312071,62,62021.0
19783027312071,70,71204.0
19783027312071,85,94960.0
19783027312071,86,95702.0
19783027312071,87,97426.0
19783027312071,94,105770.0
19783027312071,99,110783.0
19783027312071,105,113959.0
19783027312071,115,123006.0
19783027312071,117,125924.0
19783027312071,118,127453.0
19783027312071,119,128141.0
19783027312071,128,136434.0
19783027312071,130,138473.0
19783027312071,131,138891.0
19783027312071,141,146889.0
19783027312071,144,147213.0
19783027312071,145,148256.0
19783027312071,151,160128.0
19783027312071,156,170455.0
19783029512661,6,60699.0
19783029512661,14,64661.0
19783029512661,20,68910.0
19783029512661,22,69917.0
19783029512661,25,71820.0
19783029512661,33,80772.0
19783029512661,37,82999.0
19783029512661,42,89029.0
19783029512661,43,89526.0
19783029512661,49,95269.0
19783029512661,52,97816.0
19783029512661,65,110075.0
19783029512661,68,110663.0
19783029512661,69,111100.0
19783029512661,86,125399.0
19783029512661,97,162183.0
19783029512661,103,164757.0
19783029512661,117,179240.0
19783029512661,120,181260.0
19783029512661,126,
19783029512661,129,186282.0
19783029512661,144,
19783029512661,148,209422.0
19783029512661,149,210313.0
19783029512661,152,216580.0
19783029512661,165,227573.0
19783029512661,174,236132.0
19783029512661,185,247919.0
19783037608461,2,46777.0
19783037608461,4,48315.0
19783037608461,5,49237.0
19783037608461,8,51790.0
19783037608461,9,52381.0
19783037608461,11,53482.0
19783037608461,14,54608.0
19783037608461,16,59778.0
19783037608461,20,61684.0
19783037608461,21,62669.0
19783037608461,25,64175.0
19783037608461,28,67555.0
19783037608461,29,67874.0
19783037608461,40,78341.0
19783037608461,53,92953.0
19783037608461,54,93297.0
19783037608461,55,94722.0
19783037608461,58,97569.0
19783037608461,61,101539.0
19783037608461,69,109855.0
19783037608461,91,154835.0
19783037608461,96,157882.0
19783037608461,106,170180.0
19783037608461,107,170800.0
19783037608461,112,173048.0
19783037608461,121,177923.0
19783037608461,124,186170.0
19783037608461,131,192379.0
19783037608461,134,193546.0
19783037608461,145,205630.0
19783037608461,149,208430.0
19783037608461,162,220243.0
19783037608461,174,234316.0
19783037608461,187,246718.0
19783037608461,190,248845.0
19783040814721,4,11415.0
19783040814721,5,12002.0
19783040814721,9,13450.0
19783040814721,10,13691.0
19783040814721,13,14789.0
19783040814721,14,15244.0
19783040814721,19,16989.0
19783040814721,21,18120.0
19783040814721,22,18704.0
19783040814721,25,19689.0
19783040814721,28,22865.0
19783040814721,29,23050.0
19783040814721,31,24456.0
19783040814721,37,32508.0
19783040814721,38,34310.0
19783040814721,40,36848.0
19783040814721,44,39749.0
19783040814721,57,50402.0
19783040814721,58,50705.0
19783040814721,59,50832.0
19783040814721,60,51593.0
19783040814721,67,56015.0
19783040814721,68,56369.0
19783040814721,69,56814.0
19783040814721,76,67590.0
19783040814721,80,71344.0
19783040814721,88,89046.0
19783040814721,89,89828.0
19783040814721,91,90692.0
19783040814721,98,99304.0
19783040814721,99,99699.0
19783040814721,100,99833.0
19783040814721,102,100680.0
19783040814721,103,101872.0
19783040814721,105,103813.0
19783040814721,106,104481.0
19783040814721,107,105186.0
19783040814721,111,110285.0
19783040814721,115,114954.0
19783040814721,121,120998.0
19783040814721,142,141615.0
19783040814721,143,142862.0
19783040814721,149,148640.0
19783040814721,150,149267.0
19783040814721,151,149860.0
19783040814721,152,151449.0
19783040814721,153,152396.0
19783040814721,157,156824.0
19783040814721,166,163677.0
19783040814721,169,165832.0
19783044514281,8,17761.0
19783044514281,15,22183.0
19783044514281,18,24486.0
19783044514281,21,25307.0
19783044514281,22,26151.0
19783044514281,23,26785.0
19783044514281,25,29528.0
19783044514281,29,30486.0
19783044514281,33,31526.0
